case,seed,paths,grid,CVA_HW,SE_HW,CVA_G2,SE_G2,CVA_diff,SE_diff,%diff_vs_G2
SwapsOnly_ATM20_Hz150,7,2048,3M_10Y,27981.031931881425,797.0046732990554,34417.716414911294,970.4591398674041,-6436.684483029869,353.23291576543437,-18.701660521094915
SwapsOnly_ATM15_Hz150,7,2048,3M_10Y,20440.527961270374,593.7417577386271,25892.687796553575,742.234665405888,-5452.159835283201,278.45021420141927,-21.056755011771727
SwapsOnly_ATM25_Hz150,7,2048,3M_10Y,35050.97467976153,988.1551460935491,42388.704877374585,1184.5421373961212,-7337.730197613055,424.7259706224387,-17.310578888503965
SwapsPlusBonds_ATM20_Hz150,7,2048,3M_10Y,1276032.1642220723,1249.4101860165474,1273742.6073856952,1542.9415757911165,2289.556836377131,482.47054888204076,0.1797503532582892
SwapsOnly_ATM20_Hz100,7,2048,3M_10Y,19116.213397077572,544.874713318607,23506.85282401264,663.4097372886307,-4390.639426935068,241.36123095602306,-18.678125310122148
SwapsOnly_ATM20_Hz200,7,2048,3M_10Y,36411.932942726606,1036.4609313008598,44801.00607311448,1262.1141722473976,-8389.073130387871,459.60701001520255,-18.725189154674442
SlopeSteepener_ATM20_Hz150,7,2048,3M_10Y,24719.50220427622,725.0617143627323,30659.170882684284,897.7402370680733,-5939.668678408063,269.9453847665453,-19.37322017329136
