grid,CVA_HW,CVA_G2,CVA_diff
1M_10Y,26754.735163040532,31716.534695750124,-4961.799532709592
3M_10Y,27981.031931881425,34417.716414911294,-6436.684483029869
6M_10Y,29619.456818459465,36144.41635238101,-6524.959533921548
