paths,seed,CVA_HW,CVA_G2,CVA_diff
1024,7,27843.34901481672,34347.3952175588,-6504.04620274208
2048,7,27981.031931881425,34417.716414911294,-6436.684483029869
4096,7,28004.731228946894,34484.411882037144,-6479.68065309025
