case,seed,paths,grid,CVA_HW,CVA_G2,CVA_diff,CVA_calib_component,CVA_model_component,EPE_MAPE_%,EPE_MAX_%
SwapsOnly_ATM20_Hz150,7,2048,3M_10Y,27981.031931881425,34417.716414911294,-6436.684483029869,-6705.404922558442,268.7204395285735,18.704668692570092,33.2497195634858
SwapsOnly_ATM15_Hz150,7,2048,3M_10Y,20440.527961270374,25892.687796553575,-5452.159835283201,-5661.285571547836,209.12573626463563,21.27282793250412,35.612031768151176
SwapsOnly_ATM25_Hz150,7,2048,3M_10Y,35050.97467976153,42388.704877374585,-7337.730197613055,-7665.959953063641,328.2297554505858,17.220479351062792,31.89879705542424
SwapsPlusBonds_ATM20_Hz150,7,2048,3M_10Y,1276032.1642220723,1273742.6073856952,2289.556836377131,2270.1499800672755,19.406856309855357,0.22639467966356283,0.3722194145390211
SwapsOnly_ATM20_Hz100,7,2048,3M_10Y,19116.213397077572,23506.85282401264,-4390.639426935068,-4576.265863291941,185.62643635687346,18.704668692570092,33.2497195634858
SwapsOnly_ATM20_Hz200,7,2048,3M_10Y,36411.932942726606,44801.00607311448,-8389.073130387871,-8734.883921305853,345.81079091798165,18.704668692570092,33.2497195634858
SlopeSteepener_ATM20_Hz150,7,2048,3M_10Y,24719.50220427622,30659.170882684284,-5939.668678408063,-6252.367359022042,312.6986806139794,18.85527047786483,24.203920780573885
