time,EPE_HW,EPE_G2
0.2493150684931507,103313.65521891689,154576.88334542082
0.4986301369863014,134582.78899015323,136829.8762352055
0.7506849315068493,144651.34313273354,186914.2198775784
1.0027397260273974,350969.91636845935,419338.78160494426
1.252054794520548,322971.5195912965,408927.1800309374
1.4986301369863013,297248.14093429514,395885.19607997296
1.7506849315068493,266885.426725457,379129.4439586029
2.0027397260273974,468255.52149440104,595139.2159436928
2.252054794520548,423144.1080270982,528924.5190758486
2.5013698630136987,370710.6638407526,466782.8246759195
2.7534246575342465,325539.96338225645,426055.44820938446
3.010958904109589,517181.4789003606,638453.0597796733
3.265753424657534,460329.8679521836,581255.4548754188
3.5123287671232877,407557.8669910018,507921.7020166294
3.7643835616438355,349970.8159334393,450301.2712768526
4.016438356164383,534896.4838711446,642621.220418473
4.265753424657534,462461.25217327615,559826.7437986829
4.512328767123288,395030.3799198613,490618.1165473632
4.764383561643836,333089.56373506715,417493.952048754
5.016438356164383,510683.5864800918,607088.3202544036
5.265753424657534,461933.0974707602,559995.2393896296
5.512328767123288,420264.9635476846,524498.4861761734
5.764383561643836,379004.2443316027,485092.904361064
6.021917808219178,509352.3704692955,617315.5324012612
6.271232876712329,460668.2833354273,571317.9992838212
6.523287671232877,414766.20739844686,509167.34090147074
6.7753424657534245,368581.6249778273,453108.42324752634
7.027397260273973,496219.49377334135,586676.8487771794
7.276712328767124,445245.3423416631,523605.58804346854
7.523287671232877,393319.68086813507,469496.56800365174
7.7753424657534245,343323.1719081972,422433.2398245679
8.027397260273972,464108.8625856569,548857.1878859181
8.276712328767124,405096.7542268901,485792.0721069121
8.523287671232877,350401.53757415514,423706.82330946584
8.775342465753425,296468.5327735222,370066.51339481794
9.032876712328767,414390.8184962389,482679.6103036449
9.284931506849315,357607.9297528112,419707.84235622844
9.531506849315068,304499.04035751685,365791.6072561414
9.780821917808218,249655.77005366026,303199.12256161147
